Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSH- AMBULATORY CARE,Physical Therapy,REHAB PHYSICAL THERAPY,4871,,,
MSH- AMBULATORY CARE,Speech Therapy,REHAB SPEECH THERAPY,384,,,
MSH- AMBULATORY CARE,Internal Medicine,VISITING DOCS HOUSE CALL,1475,,,
MSH- AMBULATORY CARE,Internal Medicine,VISITING DOCTORS,145,,,
MSH-MSDFP,Hepatology,1 DIAMOND HILL LIVER TRANSPLANT,1,,,
MSH-MSDFP,Hepatology,1 DIAMOND HILL RMTI LIVER DISEASE,35,,,
MSH-MSDFP,Urology,1 VALLEY HEALTH PLAZA UROLOGY,24,,,
MSH-MSDFP,Internal Medicine,10 E 102 PRIMARY CARE MED,0,,,DEACTIVATE?
MSH-MSDFP,Pulmonary Disease and Critical Care,10 E 102 PULMONARY MED,0,,,DEACTIVATE?
MSH-MSDFP,Hepatology,10 INDUSTRIAL WAY EAST RMTI LIVER DISEASE,80,,,
MSH-MSDFP,OB/Gyn,101 BROADWAY OB/GYN,329,,,
MSH-MSDFP,Community and Preventive Medicine,1020 WARBURTON SELIKOFF,291,,,
MSH-MSDFP,Cardiology,103 RIVER ROAD CARDIOLOGY,126,,,
MSH-MSDFP,Cardiology,1075 PARK AVE CARDIOLOGY,0,,,
MSH-MSDFP,Urgent Care,110 YORK ST URGENT CARE,425,,,NOT IN AMB LIST
MSH-MSDFP,Physical Medicine and Rehab,1155 NORTHERN BLVD REHAB,35,,,
MSH-MSDFP,Psychiatry,1160 5TH AVE PSYCH,372,,,
MSH-MSDFP,Peds Allergy,1184 5TH PEDS ALLERGY,673,,,
MSH-MSDFP,Cardiology,1190 5TH CARD ASSOCS GP1S,7169,,,
MSH-MSDFP,Cardiology,1190 5TH CARD ASSOCS GP1W,1611,,,
MSH-MSDFP,Cardiology,1190 5TH CARD ENDO,277,,,
MSH-MSDFP,Vascular Surgery,1190 5TH CARDIO SURG,870,,,
MSH-MSDFP,Cardiology,1190 5TH CARDIOVASC INST,11859,,,
MSH-MSDFP,Psychiatry,1240 PARK AVE PSYCH,486,,,
MSH-MSDFP,Nephrology,1249 5TH AVE DIALYSIS,614,,,
MSH-MSDFP,Surgery,128 MOTT VASCULAR SURG,414,,,
MSH-MSDFP,Cardiology,1302 AMSTERDAM CARD,148,,,
MSH-MSDFP,Surgery,135-16 ROOSEVELT COLORECT,393,,,
MSH-MSDFP,Surgery,135-16 ROOSEVELT HEPATO,155,,,
MSH-MSDFP,Surgery,135-16 ROOSEVELT SURG VAS,1345,,,
MSH-MSDFP,Neurosurgery,135-16 ROOSVELT AVE NEUROSURGERY,132,,,
MSH-MSDFP,Psychiatry,1399 PARK AVE PSYCH,155,,,
MSH-MSDFP,Psychiatry,1425 MADISON AVE PSYCH,2744,,,
MSH-MSDFP,Psychiatry,1425 MADISON AVE PSYCH CSRPG,1108,,,
MSH-MSDFP,Psychiatry,1425 MADISON AVE PSYCH NP SVC,431,,,
MSH-MSDFP,Research,1425 MADISON AVE PSYCH RESEARCH,6,,,
MSH-MSDFP,Psychiatry,1425 MADISON AVE PSYCH TMS,150,,,
MSH-MSDFP,Psychiatry,1425 MADISON AVE PSYCHIATRY WOMENS HEALTH,82,,,
MSH-MSDFP,Psychiatry,1425 MADISON NEURO PSYCH,53,,,
MSH-MSDFP,Psychiatry,1425 MADISON PSYCH CENTRALIZED,1044,,,
MSH-MSDFP,Psychiatry,1425 TRANS INSTI PSYCH,63,,,
MSH-MSDFP,Psychiatry,1428 MADISON AVE PSYCH,375,,,
MSH-MSDFP,Genetics,1428 MADISON GENETICS,1937,,,
MSH-MSDFP,Liver,1450 MAD RMTIFIBROSCAN,224,,,
MSH-MSDFP,Nephrology,1450 MADISON AVE HEMO DIALYSIS,14,,,
MSH-MSDFP,Sleep Medicine,1450 MADISON AVE SLEEP CENTER,294,,,
MSH-MSDFP,Neurosurgery,1450 MADISON NEURO ENDOVAS,889,,,
MSM,Hematology,440 W 114 SICKLE CELL CLINIC,75,,Hematology,
MSH-MSDFP,Neurosurgery,1468 MADISON  NEUROSURG,440,,,
MSH-MSDFP,Peds Endocrinology,1468 MADISON  PEDS ENDO,0,,,
MSH-MSDFP,Community and Preventive Medicine,1468 MADISON  PEDS PREV MED,8,,,
MSH-MSDFP,Community and Preventive Medicine,1468 MADISON  WTC PREV MED,6499,,,
MSH-MSDFP,Audiology,1468 MADISON AVE AUDIOLOGY,106,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
MSH-MSDFP,Pediatrics,1468 MADISON AVE COHEN’S PEDIATRICS AERO DISGESTIVE CENTER,102,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
MSH-MSDFP,Multiple Specialty,1468 MADISON AVE COVID THERAPEUTIC CTR,111,OTHER,Oncology,Corrected by Amy Nelson
MSH-MSDFP,Dentistry,1468 MADISON AVE DENTAL,1022,,,
MSH-MSDFP,ENT-Otolaryngology,1468 MADISON AVE ENT,709,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
